"","type","inspiration","count"
"1","Blog","D3",3
"2","Blog","Datawrapper",11
"3","Blog","Flowingwithdata (Nathan Yau)",41
"4","Blog","Information Is Beautiful (David Mccandless)",20
"5","Blog","Storytelling With Data (Cole Knaflic)",79
"6","Community","#Datafam",14
"7","Community","#Makeovermonday",8
"8","Community","#Tidytuesday",9
"9","Community","Datavis Society",36
"10","Community","Tableau Public",41
"11","Community","Twitter",38
"12","Magazine","538",10
"13","Magazine","Bloomberg",4
"14","Magazine","Economist",14
"15","Magazine","Financial Times",57
"16","Magazine","Guardian",2
"17","Magazine","National Geographic",6
"18","Magazine","Nature",10
"19","Magazine","Nightingale",8
"20","Magazine","Nyt",38
"21","Magazine","Pudding",24
"22","Magazine","Visual Capialist",3
"23","Magazine","Wall Street Journal",5
"24","Magazine","Washington Post",11
"25","Organisation","Accurat",4
"26","Organisation","Fathom",3
"27","Organisation","Ieee",4
"28","Organisation","Kontinentalist",4
"29","Organisation","Observable",11
"30","Person","Alberto Cairo",86
"31","Person","Alli Torban",18
"32","Person","Amanda Makulec",8
"33","Person","Amelia Wattenberger",19
"34","Person","Amy Cesal",8
"35","Person","Andy Cotgreave",13
"36","Person","Andy Kirk",33
"37","Person","Andy Kriebel",12
"38","Person","Ann K. Emery",20
"39","Person","Ben Jones",6
"40","Person","Bill Shander",4
"41","Person","Catherine D'ignazio",4
"42","Person","Cedric Scherer",18
"43","Person","Danielle Navarro",4
"44","Person","Duncan Geere",4
"45","Person","Edward Tufte",49
"46","Person","Georgia Lupi",7
"47","Person","Giorgia Lupi",5
"48","Person","Gurman Bhatia",5
"49","Person","Hadley Wickham",5
"50","Person","Hans Rosling",5
"51","Person","Jane Zhang",5
"52","Person","Jeffrey Shaffer",7
"53","Person","Jessica Hullman",6
"54","Person","Johnathan Schwabish",20
"55","Person","Judit Bekker",4
"56","Person","Kevin And Ken Flerlage",24
"57","Person","Lisa Charlotte Muth",20
"58","Person","Maarten Lambrecht",5
"59","Person","Mike Bostock",21
"60","Person","Mona Chalabi",17
"61","Person","Moritz Stefaner",21
"62","Person","Nadieh Bremer",70
"63","Person","R.j Andrews",10
"64","Person","Shirley Wu",47
"65","Person","Stefanie Posavec",13
"66","Person","Stephanie Evergreen",59
"67","Person","Steve Wexler",30
"68","Person","Susie Lu",5
"69","Person","Tamara Munzner",8
"70","Person","Thomas Lin",4
"71","Person","Thomas Lin Pedersen",5
"72","Person","Tiziana Alocci",4
"73","Person","Valentina D'efilippo",9
"74","Person","Zach Bowders",2
"75","Social Network","Behance",5
"76","Social Network","Dribbble",3
"77","Social Network","Instagram",11
"78","Social Network","Linkedin",10
"79","Social Network","Pinterest",10
"80","Social Network","R/Dataisbeautiful",4
"81","Social Network","Slack",11
